Device Name,2497716,,,,,,,,,,,,,
Device Model,Kestrel DROP 3,,,,,,,,,,,,,
Serial Number,2497716,,,,,,,,,,,,,
FORMATTED DATE_TIME,Temperature,Relative Humidity,Station Pressure,Heat Index,Dew Point,Density Altitude,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
2025-9-19 18:28,21.6,40,989.8,20.7,7.4,517,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:28,21.6,40,989.7,20.7,7.4,519,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:28,21.7,40,989.7,20.7,7.5,521,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:28,21.5,40,989.5,20.7,7.4,518,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:28,21.4,40,989.7,20.5,7.3,512,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:28,21.2,40,989.5,20.2,7.1,509,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:28,21.2,40,989.5,20.2,7.1,506,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:28,21.2,40,989.4,20.1,7,506,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:28,21.1,40.1,989.3,19.9,7,502,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:28,21,40.1,989.3,19.8,6.9,499,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:28,20.9,40.1,989.3,19.8,6.8,498,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:28,20.9,40.1,989.2,19.6,6.8,496,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:28,20.8,40.1,989.2,19.5,6.7,494,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:28,20.7,40,989.1,19.5,6.7,491,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:28,20.7,40,989,19.3,6.6,492,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:28,20.7,40,988.9,19.3,6.6,493,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:28,20.6,40.1,988.9,19.3,6.6,492,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:28,20.6,40.1,988.8,19.3,6.6,491,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:28,20.6,40.1,988.8,19.3,6.6,491,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:28,20.6,40.1,988.9,19.3,6.6,491,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:29,20.6,40.2,988.8,19.3,6.7,493,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:29,20.6,40.2,988.6,19.3,6.7,494,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:29,20.6,40.3,988.6,19.3,6.7,495,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:29,20.7,40.2,988.6,19.3,6.7,496,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:29,20.7,40.2,988.5,19.3,6.7,497,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:29,20.7,40.3,988.4,19.5,6.8,499,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:29,20.7,40.4,988.4,19.5,6.8,499,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:29,20.7,40.4,988.4,19.5,6.8,499,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:29,20.8,40.4,988.3,19.6,6.9,504,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:29,20.8,40.5,988.3,19.6,6.9,505,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:29,20.8,40.6,988.3,19.6,7,505,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:29,20.8,40.8,988.2,19.6,7,507,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:29,20.9,40.8,988.1,19.8,7.1,511,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:29,21,40.9,987.9,19.9,7.2,516,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:29,21,40.9,987.9,19.9,7.2,516,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:29,21.1,41,987.9,20,7.3,519,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:29,21.1,41,987.9,20,7.3,519,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:29,21.2,41,987.8,20.2,7.4,523,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:29,21.2,41,987.8,20.2,7.4,524,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:29,21.2,41,987.8,20.2,7.4,524,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:29,21.1,41,987.9,20.2,7.4,521,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:29,21.2,41,987.6,20.3,7.4,527,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:29,21.2,41.1,987.7,20.3,7.5,527,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:29,21.2,41.1,987.7,20.3,7.5,527,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:29,21.2,41.2,987.5,20.2,7.5,527,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:29,21.2,41.2,987.6,20.3,7.5,528,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:29,21.3,41.2,987.2,20.3,7.6,534,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:29,21.3,41.3,987.2,20.5,7.6,535,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:29,21.3,41.3,987.3,20.5,7.7,535,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:29,21.3,41.3,987.5,20.5,7.7,532,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:30,21.4,41.3,987.3,20.5,7.7,537,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:30,21.4,41.3,987.1,20.6,7.8,541,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:30,21.5,41.4,987.1,20.8,7.9,544,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:30,21.7,41.4,987,20.8,8,551,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:30,21.9,41.4,987.1,21.1,8.2,559,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
2025-9-19 18:30,22.1,41.5,987,21.2,8.4,566,session,"Session - Sep 19, 2025 18:28:20",2025-09-19 18:28:20 18:28:20,0:01:51,,,,Enter Notes
